AnoMes,quantidadePix,valorPix,quantidadeTED,valorTED,quantidadeTEC,valorTEC,quantidadeCheque,valorCheque,quantidadeBoleto,valorBoleto,quantidadeDOC,valorDOC
202108,"961033,47","529325,7","99440,21","3159715,32","402,95","790,52","18734,59","55032,48","360595,99","427123,67","10095,59","8283,09"
202107,"873876,23","474406,92","102448,1","3008021,83","763,01","1562,97","18196,26","52678,84","349844,73","404147,44","11366,75","9021,56"
202106,"735299,77","416301,68","107582,53","2980596,44","696,15","1464,76","18254,45","53161,69","342773,47","393852,08","10902,82","8958,66"
202105,"641530,48","376521,08","115346,16","2850298,09","489,86","983,25","18456,48","54201,28","341731,09","389564,26","10221,54","8444,29"
202104,"494733,63","312912,44","110989,05","2735892,74","693,38","1446,8","18441,84","52999,98","335530,74","374186,91","7535,06","5755,89"
202103,"389558,55","273005,19","119890,41","3083743,42","638,88","1272,87","21076,69","57274,71","358045,89","399875,9","8589,92","6559,22"
202102,"273167,83","195464,5","111617,8","2381021,03","740,59","1497,1","17997,84","46939,4","306432,32","338584,62","8622,89","6384,33"
202101,"199611,49","156576,83","122663,27","2429649,71","801,69","1582,47","18870,96","47363,18","314232,62","351809,62","14474,54","8834,15"
202012,"143339,29","120697,92","189261,59","2935690,91","1043,65","2065,64","22020,43","55376,12","353636,58","394356,67","16774,77","11369,78"
202011,"32867,36","29196,99","191703,38","2571188,87","750,55","1485,96","21885,21","52526,06","350564,46","375573,9","22362,97","13980,28"
